timestamp,epoch,step,global_step,loss,lr
2025-12-07T00:18:03.636966,67,1000,83499,0.782091,0.00055205
2025-12-07T00:18:34.498174,67,1100,83599,0.783364,0.00055204
2025-12-07T00:18:53.847212,67,1200,83699,0.782514,0.00055202
2025-12-07T00:19:32.166576,68,100,83849,0.782367,0.00055200
2025-12-07T00:19:51.078451,68,200,83949,0.782056,0.00055198
2025-12-07T00:20:10.686880,68,300,84049,0.782269,0.00055197
2025-12-07T00:20:30.332880,68,400,84149,0.782074,0.00055196
2025-12-07T00:20:49.932996,68,500,84249,0.781064,0.00055194
2025-12-07T00:21:09.540713,68,600,84349,0.781785,0.00055193
2025-12-07T00:21:29.151870,68,700,84449,0.782138,0.00055191
2025-12-07T00:21:48.763380,68,800,84549,0.782107,0.00055190
2025-12-07T00:22:08.388339,68,900,84649,0.781869,0.00055188
2025-12-07T00:22:28.006512,68,1000,84749,0.781364,0.00055187
2025-12-07T00:22:59.686303,68,1100,84849,0.782462,0.00055185
2025-12-07T00:23:19.438191,68,1200,84949,0.782120,0.00055184
2025-12-07T00:23:59.322274,69,100,85099,0.782621,0.00055182
2025-12-07T00:24:18.206543,69,200,85199,0.781856,0.00055180
2025-12-07T00:24:37.370846,69,300,85299,0.782666,0.00055179
2025-12-07T00:24:56.546303,69,400,85399,0.782583,0.00055177
2025-12-07T00:25:15.712492,69,500,85499,0.782353,0.00055176
2025-12-07T00:25:34.870297,69,600,85599,0.781440,0.00055174
2025-12-07T00:25:54.062612,69,700,85699,0.782281,0.00055173
2025-12-07T00:26:13.222310,69,800,85799,0.781882,0.00055171
2025-12-07T00:26:32.403588,69,900,85899,0.781521,0.00055170
2025-12-07T00:26:51.575471,69,1000,85999,0.781252,0.00055168
2025-12-07T00:27:21.896662,69,1100,86099,0.782363,0.00055167
2025-12-07T00:27:41.186241,69,1200,86199,0.781948,0.00055165
2025-12-07T00:28:20.410007,70,100,86349,0.781411,0.00055163
2025-12-07T00:28:39.301926,70,200,86449,0.782385,0.00055162
2025-12-07T00:28:58.512044,70,300,86549,0.782221,0.00055160
2025-12-07T00:29:17.702508,70,400,86649,0.781211,0.00055159
2025-12-07T00:29:36.920326,70,500,86749,0.781191,0.00055157
2025-12-07T00:29:56.129666,70,600,86849,0.781097,0.00055156
2025-12-07T00:30:15.403789,70,700,86949,0.781358,0.00055154
2025-12-07T00:30:34.620990,70,800,87049,0.783086,0.00055153
2025-12-07T00:30:53.845585,70,900,87149,0.781423,0.00055151
2025-12-07T00:31:13.033685,70,1000,87249,0.781206,0.00055150
2025-12-07T00:31:44.596611,70,1100,87349,0.781694,0.00055148
2025-12-07T00:32:03.942015,70,1200,87449,0.781879,0.00055147
2025-12-07T00:32:43.094390,71,100,87599,0.781272,0.00055144
2025-12-07T00:33:02.071252,71,200,87699,0.780699,0.00055143
2025-12-07T00:33:21.288802,71,300,87799,0.780812,0.00055141
2025-12-07T00:33:40.549921,71,400,87899,0.781754,0.00055140
2025-12-07T00:33:59.774218,71,500,87999,0.780844,0.00055138
2025-12-07T00:34:19.011287,71,600,88099,0.781550,0.00055137
2025-12-07T00:34:38.202729,71,700,88199,0.782190,0.00055135
2025-12-07T00:34:57.370446,71,800,88299,0.782173,0.00055134
2025-12-07T00:35:16.511215,71,900,88399,0.781382,0.00055132
2025-12-07T00:35:35.659475,71,1000,88499,0.781188,0.00055131
2025-12-07T00:36:05.049424,71,1100,88599,0.781390,0.00055129
2025-12-07T00:36:24.305797,71,1200,88699,0.781372,0.00055127
2025-12-07T00:37:02.735520,72,100,88849,0.781020,0.00055125
2025-12-07T00:37:21.608969,72,200,88949,0.781196,0.00055124
2025-12-07T00:37:40.790750,72,300,89049,0.781872,0.00055122
2025-12-07T00:37:59.937919,72,400,89149,0.780531,0.00055121
2025-12-07T00:38:19.104893,72,500,89249,0.781739,0.00055119
2025-12-07T00:38:38.230018,72,600,89349,0.780785,0.00055117
2025-12-07T00:38:57.389260,72,700,89449,0.781164,0.00055116
2025-12-07T00:39:16.536909,72,800,89549,0.782389,0.00055114
2025-12-07T00:39:35.700443,72,900,89649,0.780801,0.00055113
2025-12-07T00:39:54.852677,72,1000,89749,0.781228,0.00055111
